Technology,Scenario,Year,Learning_rate,TRL,Scale
PEM,2degree,2024,0.14,8,0.48
PEM,2degree,2030,0.14,9,9.6
PEM,2degree,2050,0.14,9,113.4
PEM,1.5degree,2024,0.14,8,0.48
PEM,1.5degree,2030,0.14,9,30.6
PEM,1.5degree,2050,0.14,9,196.2
PEM,Base,2024,0.14,8,0.48
PEM,Base,2030,0.14,9,3
PEM,Base,2050,0.14,9,13.2
AE,2degree,2024,0.08,8,0.24
AE,2degree,2030,0.08,9,4.8
AE,2degree,2050,0.08,9,56.7
AE,1.5degree,2024,0.08,8,0.24
AE,1.5degree,2030,0.08,9,15.3
AE,1.5degree,2050,0.08,9,98.1
AE,Base,2024,0.08,8,0.24
AE,Base,2030,0.08,9,1.5
AE,Base,2050,0.08,9,6.6
SOEC,2degree,2024,0.1,6,0.08
SOEC,2degree,2030,0.1,8,1.6
SOEC,2degree,2050,0.1,9,18.9
SOEC,1.5degree,2024,0.15,6,0.08
SOEC,1.5degree,2030,0.15,9,5.1
SOEC,1.5degree,2050,0.15,9,32.7
SOEC,Base,2024,0.05,6,0.08
SOEC,Base,2030,0.05,7,0.5
SOEC,Base,2050,0.05,9,2.2
HTSE,2degree,2024,0.1,6,0.001
HTSE,2degree,2030,0.1,8,0.01
HTSE,2degree,2050,0.1,9,10
HTSE,1.5degree,2024,0.15,6,0.001
HTSE,1.5degree,2030,0.15,9,0.05
HTSE,1.5degree,2050,0.15,9,23
HTSE,Base,2024,0.05,6,0.001
HTSE,Base,2030,0.05,7,0.005
HTSE,Base,2050,0.05,9,2
CuCl,2degree,2024,0.1,5,0.1
CuCl,2degree,2030,0.1,7,1
CuCl,2degree,2050,0.1,9,2
CuCl,1.5degree,2024,0.15,5,0.1
CuCl,1.5degree,2030,0.15,9,1
CuCl,1.5degree,2050,0.15,9,3
CuCl,Base,2024,0.05,5,0.1
CuCl,Base,2030,0.05,6,1
CuCl,Base,2050,0.05,9,1.2
SMR_CCS,2degree,2024,0.08,8,1.3
SMR_CCS,2degree,2030,0.08,9,15
SMR_CCS,2degree,2050,0.08,9,80
SMR_CCS,1.5degree,2024,0.13,8,1.3
SMR_CCS,1.5degree,2030,0.13,9,20
SMR_CCS,1.5degree,2050,0.13,9,120
SMR_CCS,Base,2024,0.03,8,1.3
SMR_CCS,Base,2030,0.03,9,7
SMR_CCS,Base,2050,0.03,9,30
ATR_CCS,2degree,2024,0.08,8,0.5
ATR_CCS,2degree,2030,0.08,9,5
ATR_CCS,2degree,2050,0.08,9,30
ATR_CCS,1.5degree,2024,0.13,8,0.5
ATR_CCS,1.5degree,2030,0.13,9,8
ATR_CCS,1.5degree,2050,0.13,9,40
ATR_CCS,Base,2024,0.03,8,0.5
ATR_CCS,Base,2030,0.03,9,2
ATR_CCS,Base,2050,0.03,9,10
CLR,2degree,2024,0.1,6,1
CLR,2degree,2030,0.1,8,8
CLR,2degree,2050,0.1,9,56
CLR,1.5degree,2024,0.15,6,1
CLR,1.5degree,2030,0.15,9,18
CLR,1.5degree,2050,0.15,9,89
CLR,Base,2024,0.05,6,1
CLR,Base,2030,0.05,7,2
CLR,Base,2050,0.05,9,8
M_PYR,2degree,2024,0.1,5,0.001
M_PYR,2degree,2030,0.1,7,0.02
M_PYR,2degree,2050,0.1,9,3
M_PYR,1.5degree,2024,0.15,5,0.001
M_PYR,1.5degree,2030,0.15,9,0.04
M_PYR,1.5degree,2050,0.15,9,5
M_PYR,Base,2024,0.05,5,0.001
M_PYR,Base,2030,0.05,6,0.005
M_PYR,Base,2050,0.05,9,0.5
TG_CCS,2degree,2024,0.08,8,0.01
TG_CCS,2degree,2030,0.08,9,1
TG_CCS,2degree,2050,0.08,9,10
TG_CCS,1.5degree,2024,0.13,8,0.01
TG_CCS,1.5degree,2030,0.13,9,2
TG_CCS,1.5degree,2050,0.13,9,30
TG_CCS,Base,2024,0.03,8,0.01
TG_CCS,Base,2030,0.03,9,0.1
TG_CCS,Base,2050,0.03,9,2
SR_FT,2degree,2024,0.1,6,0.0001
SR_FT,2degree,2030,0.1,8,0.01
SR_FT,2degree,2050,0.1,9,1
SR_FT,1.5degree,2024,0.15,6,0.0001
SR_FT,1.5degree,2030,0.15,9,0.02
SR_FT,1.5degree,2050,0.15,9,3
SR_FT,Base,2024,0.05,6,0.0001
SR_FT,Base,2030,0.05,7,0.002
SR_FT,Base,2050,0.05,9,0.2
ST_FT,2degree,2024,0.1,5,0.0001
ST_FT,2degree,2030,0.1,7,0.002
ST_FT,2degree,2050,0.1,9,0.2
ST_FT,1.5degree,2024,0.15,5,0.0001
ST_FT,1.5degree,2030,0.15,9,0.004
ST_FT,1.5degree,2050,0.15,9,1
ST_FT,Base,2024,0.05,5,0.0001
ST_FT,Base,2030,0.05,6,0.0005
ST_FT,Base,2050,0.05,9,0.05
TG_FT,2degree,2024,0.1,7,0.01
TG_FT,2degree,2030,0.1,9,1
TG_FT,2degree,2050,0.1,9,10
TG_FT,1.5degree,2024,0.15,7,0.01
TG_FT,1.5degree,2030,0.15,9,2
TG_FT,1.5degree,2050,0.15,9,20
TG_FT,Base,2024,0.05,7,0.01
TG_FT,Base,2030,0.05,8,0.2
TG_FT,Base,2050,0.05,9,2
RWGS_FT,2degree,2024,0.1,7,0.1
RWGS_FT,2degree,2030,0.1,9,6
RWGS_FT,2degree,2050,0.1,9,83
RWGS_FT,1.5degree,2024,0.15,7,0.1
RWGS_FT,1.5degree,2030,0.15,9,16
RWGS_FT,1.5degree,2050,0.15,9,142
RWGS_FT,Base,2024,0.05,7,0.1
RWGS_FT,Base,2030,0.05,8,2
RWGS_FT,Base,2050,0.05,9,20
RWGS_MeOH,2degree,2024,0.1,7,0.1
RWGS_MeOH,2degree,2030,0.1,9,3
RWGS_MeOH,2degree,2050,0.1,9,41
RWGS_MeOH,1.5degree,2024,0.15,7,0.1
RWGS_MeOH,1.5degree,2030,0.15,9,8
RWGS_MeOH,1.5degree,2050,0.15,9,71
RWGS_MeOH,Base,2024,0.05,7,0.1
RWGS_MeOH,Base,2030,0.05,8,1
RWGS_MeOH,Base,2050,0.05,9,10
HTL,2degree,2024,0.08,8,0.001
HTL,2degree,2030,0.08,9,0.2
HTL,2degree,2050,0.08,9,2
HTL,1.5degree,2024,0.13,8,0.001
HTL,1.5degree,2030,0.13,9,0.5
HTL,1.5degree,2050,0.13,9,5
HTL,Base,2024,0.03,8,0.001
HTL,Base,2030,0.03,9,0.03
HTL,Base,2050,0.03,9,0.2
HVO,2degree,2024,0.1,7,0.23
HVO,2degree,2030,0.1,9,1.4
HVO,2degree,2050,0.1,9,3.83
HVO,1.5degree,2024,0.15,7,0.23
HVO,1.5degree,2030,0.15,9,2.37
HVO,1.5degree,2050,0.15,9,4.23
HVO,Base,2024,0.05,7,0.23
HVO,Base,2030,0.05,8,0.6
HVO,Base,2050,0.05,9,1.47
B_PYR,2degree,2024,0.1,5,0.13
B_PYR,2degree,2030,0.1,7,1.4
B_PYR,2degree,2050,0.1,9,3.83
B_PYR,1.5degree,2024,0.15,5,0.13
B_PYR,1.5degree,2030,0.15,9,2.37
B_PYR,1.5degree,2050,0.15,9,4.23
B_PYR,Base,2024,0.05,5,0.13
B_PYR,Base,2030,0.05,6,0.6
B_PYR,Base,2050,0.05,9,1.47
PTM,2degree,2024,0.1,7,1
PTM,2degree,2030,0.1,9,6
PTM,2degree,2050,0.1,9,83
PTM,1.5degree,2024,0.15,7,1
PTM,1.5degree,2030,0.15,9,16
PTM,1.5degree,2050,0.15,9,142
PTM,Base,2024,0.05,7,1
PTM,Base,2030,0.05,8,2
PTM,Base,2050,0.05,9,4
AD,2degree,2024,0.1,7,12.5
AD,2degree,2030,0.1,9,67.5
AD,2degree,2050,0.1,9,245
AD,1.5degree,2024,0.15,7,12.5
AD,1.5degree,2030,0.15,9,130
AD,1.5degree,2050,0.15,9,295
AD,Base,2024,0.05,7,12.5
AD,Base,2030,0.05,8,25
AD,Base,2050,0.05,9,142.5
HB,2degree,2024,0.08,9,180
HB,2degree,2030,0.08,9,210
HB,2degree,2050,0.08,9,230
HB,1.5degree,2024,0.13,9,180
HB,1.5degree,2030,0.13,9,210
HB,1.5degree,2050,0.13,9,230
HB,Base,2024,0.03,9,180
HB,Base,2030,0.03,9,220
HB,Base,2050,0.03,9,250
DAC,2degree,2024,0.08,5,0.01
DAC,2degree,2030,0.08,7,10
DAC,2degree,2050,0.08,9,120
DAC,1.5degree,2024,0.13,5,0.01
DAC,1.5degree,2030,0.13,9,60
DAC,1.5degree,2050,0.13,9,500
DAC,Base,2024,0.05,5,0.01
DAC,Base,2030,0.05,6,1
DAC,Base,2050,0.05,9,10
